Nom;Nom_Domaine;Canton;Altitude ;AltiMax;Latitude;Longitude; TarifAdulte ; TarifEnfant ;NbRemontees;Nb_Pistes;Longueur_Pistes
Aminona;Crans-Montana;VS;1500;3000;46.332531;7.525716;65;36;27;41;140
Anzère;Anzère;VS;1500;2420;46.295243;7.394784;52;32;14;24;58
Arolla;Arolla;VS;2003;2889;46.021759;7.481295;38;25;6;12;47
Bruson;Bruson;VS;1103;2232;46.076921;7.212537;36;18;6;12;48
Champéry;Portes du Soleil;VS;1040;2277;46.175121;6.871132;45;32;216;286;650
Champoussin;Portes du Soleil;VS;1310;2277;46.209627;6.863438;45;32;216;286;650
Crans-Montana;Crans-Montana;VS;1500;3000;46.312944;7.479375;65;36;27;41;140
Evolène;Evolène;VS;1407;2680;46.091766;7.516482;41;20;5;11;42
Grimentz;Grimentz-Zinal;VS;1327;2920;46.180694;7.556752;50;30;21;45;80
La Forclaz;La Forclaz;VS;1730;2200;46.086148;7.520138;25;16;3;6;15
La Fouly;La Fouly;VS;1600;2200;45.9336;7.098616;28;14;4;13;20
Les Crosets;Portes du Soleil;VS;1670;2277;46.186431;6.836388;45;32;216;286;650
Les Marécottes;Les Marécottes;VS;1110;2220;46.112689;7.009043;43;22;4;7;28
Morgins;Portes du Soleil;VS;1315;2277;46.236595;6.85808;54;41;216;286;650
Nendaz;4 Vallées;VS;1400;3330;46.179916;7.291131;67;34;52;55;412
Ovronnaz;Ovronnaz;VS;1350;2427;46.198368;7.175124;49;29;13;10;30
St-Luc-Chandolin;St-Luc-Chandolin;VS;1680;2980;46.219587;7.602407;54;32;15;21;60
Torgon;Portes du Soleil;VS;1100;2277;46.320736;6.87632;54;41;216;286;650
Verbier;4 Vallées;VS;1500;3330;46.093774;7.233448;67;34;52;55;412
Vercorin;Vercorin;VS;1330;2374;46.253897;7.533989;50;30;;;
Veysonnaz;4 Vallées;VS;1400;3330;46.195695;7.342718;67;34;52;55;412
Vichères;Vichères (+St-Bernard);VS;1595;2267;45.99719;7.166376;38;19;4;10;15
Zinal;Grimentz-Zinal;VS;1327;2920;46.138228;7.623762;50;30;21;45;80
Charmey;Charmey;FR;876;1627;46.618312;7.167532;43;25;6;12;30
Jaun Bellegarde;Jaun;FR;1000;1580;46.608345;7.291764;37;24;4;10;25
La Berra;La Berra;FR;1030;1730;46.67612;7.175848;37;23;5;6;25
La Chia (Bulle);La Chia (Bulle);FR;1000;1300;46.595344;7.026117;20;15;2;4;5
Les Paccots;Les Paccots;FR;1061;1568;46.522336;6.947622;32;22;11;11;20
Moléson;Moléson;FR;1000;2000;46.560312;7.038395;30;20;4;9;30
Rathvel;Rathvel;FR;1223;1517;46.543366;6.97732;25;18;4;4;3
Schwarzsee;Schwarzsee;FR;1050;1750;46.669265;7.288287;37;23;5;10;22
Château-d'Oex;Château-d'Oex;VD;1000;1630;46.474472;7.134041;42;19;5;12;25
Gryon;Villars-Gryon-Diablerets;VD;1114;2120;46.283954;7.076873;53;35;34;50;100
Les Diablerets;;VD;;;;;45;29;;;
Les Mosses- La Lécherette;;VD;1424;1877;46.397351;7.096407;34;24;14;23;
Les Pléiades;;VD;1200;1360;46.483305;6.909919;24;13;5;6;
Leysin;;VD;1263;2200;46.347568;7.017436;47;31;27;26;87
Rochers de Naye;;VD;;;;;35;18;;;
Rougemont;;VD;;;;;62;31;;;
Villars;Villars-Gryon;VD;;;;;52;34;;;
Ste-Croix Les Rasses;Ste-Croix Les Rasses;VD;1150;1580;46.830158;6.541451;32;23;9;8;30
Bugnenetes-Savagneres;Bugnenetes-Savagneres;;1090;1450;;;38;23;8;16;30